user_name,rating,comment,images,created_at,thank_count,product_id,product_name
Tiến Long,5,Ok,[],21/08/22,0,174247255,Trung Nguyên Legend - Cà phê hòa tan G7 3in1 - Bịch 50 sachets x 16gr (gói vuông)
Hồng Xoan,5,Ok,[],18/08/22,0,174247255,Trung Nguyên Legend - Cà phê hòa tan G7 3in1 - Bịch 50 sachets x 16gr (gói vuông)
Đại Long,5,Sp ô,[],09/07/22,0,174247255,Trung Nguyên Legend - Cà phê hòa tan G7 3in1 - Bịch 50 sachets x 16gr (gói vuông)
Lê Ngọc Minh,5,Ok,[],07/07/22,0,174247255,Trung Nguyên Legend - Cà phê hòa tan G7 3in1 - Bịch 50 sachets x 16gr (gói vuông)
ung nag,5,Okk,[],01/06/22,0,174247255,Trung Nguyên Legend - Cà phê hòa tan G7 3in1 - Bịch 50 sachets x 16gr (gói vuông)
Đỗ Long,5,ok,[],13/05/22,0,174247255,Trung Nguyên Legend - Cà phê hòa tan G7 3in1 - Bịch 50 sachets x 16gr (gói vuông)
Đan Minh,5,Okie,[],05/05/22,0,174247255,Trung Nguyên Legend - Cà phê hòa tan G7 3in1 - Bịch 50 sachets x 16gr (gói vuông)
Tran Quoc An,5,"Giao đúng hàng như quảng cáo, đóng gói cẩn thận, Bao bì đẹp.. Còn chất lượng thế nào thì phải nếm thử mới biết được, cần thời gian để đánh giá thêm. Tuy nhiên, có lẽ vì hàng được giao hơi xa hoặc do đang có COVID nên việc giai hàng hơi chậm.. Nếu dùng tốt sẽ mua thêm...","['https://salt.tikicdn.com/ts/review/fa/46/3b/fe72b38e136b14d2ac0c9fc8c0cb43ef.jpg', 'https://salt.tikicdn.com/ts/review/22/e0/04/640365c01fbc0b45df6e20e81f8db41d.jpg', 'https://salt.tikicdn.com/ts/review/2c/91/b8/816a3ccdd7c48f8036cd147f23f091ec.jpg', 'https://salt.tikicdn.com/ts/review/17/28/b6/4996fdb21306a0f2ccb6ea81a1c4a2b8.jpg']",08/05/23,0,161454715,Trung Nguyên Legend - Cà phê hoà tan rang xay 3in1 Classic - Bịch 50 gói x 17gr
GiacNha Nguyen,5,"Da nhan dc hang , du số lượng, chất lượng cafe Trung Nguyên thì ngon rồi 👍giao hàng, đóng gói cẩn thận, cho shop 5 sao ⭐️","['https://salt.tikicdn.com/ts/review/06/97/b6/fdb3f20033d0c02ea65cfd6c71d488c8.jpg', 'https://salt.tikicdn.com/ts/review/e6/d8/38/69ebd4a2f05cd4173d2f3c2066ed8644.jpg']",08/08/24,0,161454715,Trung Nguyên Legend - Cà phê hoà tan rang xay 3in1 Classic - Bịch 50 gói x 17gr
Hoàng Việt,5,"Thiết kế trang nhã. Dung lượng mỗi gói hơi ít (17g), nên ai gu đậm thì khi pha đá sẽ pha 2 gói. Mình hay thử các loại cà phê mới ra, quay qua quay lại vẫn thích loại này hơn: cà phê không đắng kiểu đắng nghét, lượng đường không bị nhiều quá và không bị lẫn sang vị ngọt dùng cho bánh kẹo. Mình hay cho thêm chút bột kem coffee mate và sữa đặc khi pha đá. Một điểm cộng nữa là hạn sử dụng đến 2 năm.","['https://salt.tikicdn.com/ts/review/5d/27/7b/a2f1dd65b732c9bd3b1b91097fec8101.jpg', 'https://salt.tikicdn.com/ts/review/d9/88/cb/3929358772089df0939f7eb0b8f34d62.jpg']",24/06/22,0,161454715,Trung Nguyên Legend - Cà phê hoà tan rang xay 3in1 Classic - Bịch 50 gói x 17gr
LÊ HOÀI NAM,5,"Hàng giao nhanh, date mới. Thấy loại mới là 50 gói/ bịch, so với loại cũ chỉ có 47 gói/ bịch, giá chưa sales vẫn như giá bán lẻ cũ.

Loại này hương vị cân bằng, không quá đậm vị cà phê như G7, cũng không quá mùi sữa át mùi cà phê. Dễ uống vào bất kỳ thời điểm nào trong ngày mà không lo bị mất ngủ.","['https://salt.tikicdn.com/ts/review/7c/80/0d/312f9630f841861c0f535bfe79ca062e.jpg', 'https://salt.tikicdn.com/ts/review/24/70/d5/6b3e96667078877a4cf16e0a8ce36464.jpg']",26/03/22,1,161454715,Trung Nguyên Legend - Cà phê hoà tan rang xay 3in1 Classic - Bịch 50 gói x 17gr
Đinh Hoàng Vũ,5,"Tài xế tuyệt vời, giao hàng cực nhanh dù trời mưa.!!!",[],31/03/25,0,161454715,Trung Nguyên Legend - Cà phê hoà tan rang xay 3in1 Classic - Bịch 50 gói x 17gr
Lê Hai,5,Ok,['https://salt.tikicdn.com/ts/review/8e/30/e8/741dffbf6ead1ac5372548dd66e59784.jpg'],15/03/25,0,161454715,Trung Nguyên Legend - Cà phê hoà tan rang xay 3in1 Classic - Bịch 50 gói x 17gr
Võ Phú,5,"Cà phê thơm ngon, giá tốt.",[],08/05/25,0,161454715,Trung Nguyên Legend - Cà phê hoà tan rang xay 3in1 Classic - Bịch 50 gói x 17gr
Trương Lương,5,San pham ok,['https://salt.tikicdn.com/ts/review/49/fa/18/90fec11ca9a6193e88fcab3ef515b8b2.jpg'],14/12/24,0,161454715,Trung Nguyên Legend - Cà phê hoà tan rang xay 3in1 Classic - Bịch 50 gói x 17gr
Phạm hồng Quân,5,Nhanh tốt tiện lợi rõ ràng,[],10/02/25,0,161454715,Trung Nguyên Legend - Cà phê hoà tan rang xay 3in1 Classic - Bịch 50 gói x 17gr
Vĩnh Quyên,5,Ngon. Cảm thấy Thích hơn G7,['https://salt.tikicdn.com/ts/review/74/2c/65/cc562f3270e5a0c08bbe48e78369d0b5.jpg'],31/08/24,0,161454715,Trung Nguyên Legend - Cà phê hoà tan rang xay 3in1 Classic - Bịch 50 gói x 17gr
